Time [s],T1,T2,T3,T4,T5
10.811676042,0,1,0,0,0
10.811787625,0,0,0,0,0
10.811801375,0,0,1,0,0
10.811916875,0,0,0,0,0
10.811934750,0,0,0,1,0
10.812376500,0,0,0,0,0
10.835159625,0,0,0,1,0
10.835595292,0,0,0,0,0
10.885642375,0,0,0,1,0
10.886084125,0,0,0,0,0
10.936120292,0,0,0,1,0
10.936556000,0,0,0,0,0
10.986603042,0,0,0,1,0
10.987038750,0,0,0,0,0
11.037085792,0,0,0,1,0
11.037527542,0,0,0,0,0
11.087558000,0,0,0,1,0
11.087999750,0,0,0,0,0
11.138046792,0,0,0,1,0
11.138482500,0,0,0,0,0
11.188518667,0,0,0,1,0
11.188954375,0,0,0,0,0
11.238998375,0,1,0,0,0
11.239115542,0,0,0,0,0
11.239126417,1,0,0,0,0
11.300016750,0,0,0,0,0
11.300030500,0,0,1,0,0
11.300148792,0,0,0,0,0
11.300166667,0,0,0,1,0
11.300602375,0,0,0,0,0
11.300625292,0,0,0,0,1
11.356110125,0,0,0,0,0
11.356128000,0,0,0,1,0
11.356563667,0,0,0,0,0
11.390440625,0,0,0,1,0
11.390882375,0,0,0,0,0
11.440929417,0,0,0,1,0
11.441365125,0,0,0,0,0
11.491401292,0,0,0,1,0
11.491837000,0,0,0,0,0
11.541884042,0,0,0,1,0
11.542325792,0,0,0,0,0
11.592366792,0,0,0,1,0
11.592808542,0,0,0,0,0
11.642845042,0,0,0,1,0
11.643280750,0,0,0,0,0
11.693316917,0,0,0,1,0
11.693752625,0,0,0,0,0
11.743799792,0,0,1,0,0
11.743916875,0,0,0,0,0
11.743927750,1,0,0,0,0
11.804817750,0,0,0,0,0
11.804828292,0,1,0,0,0
11.804939542,0,0,0,0,0
11.804957417,0,0,0,1,0
11.805393125,0,0,0,0,0
11.805410000,0,0,0,0,1
11.860913667,0,0,0,0,0
11.860931542,0,0,0,1,0
11.861367250,0,0,0,0,0
11.895244167,0,0,0,1,0
11.895685917,0,0,0,0,0
11.945726917,0,0,0,1,0
11.946168667,0,0,0,0,0
11.996204875,0,0,0,1,0
11.996640542,0,0,0,0,0
12.046676750,0,0,0,1,0
12.047118500,0,0,0,0,0
12.097159500,0,0,0,1,0
12.097601250,0,0,0,0,0
12.147637417,0,0,0,1,0
12.148073125,0,0,0,0,0
12.198120500,0,0,0,1,0
12.198556167,0,0,0,0,0
12.248600500,1,0,0,0,0
12.270610250,0,0,0,0,0
12.270620792,0,1,0,0,0
12.270731750,0,0,0,0,0
12.270745500,0,0,1,0,0
12.270860667,0,0,0,0,0
12.270878542,0,0,0,1,0
12.271314250,0,0,0,0,0
12.271331125,0,0,0,0,1
12.326843542,0,0,0,0,0
12.326861417,0,0,0,1,0
12.327297125,0,0,0,0,0
12.349557917,0,0,0,1,0
12.349993625,0,0,0,0,0
12.400040667,0,0,0,1,0
12.400482417,0,0,0,0,0
12.450523750,0,0,0,1,0
12.450965500,0,0,0,0,0
12.501001667,0,0,0,1,0
12.501437375,0,0,0,0,0
12.551484417,0,0,0,1,0
12.551920125,0,0,0,0,0
12.601967167,0,0,0,1,0
12.602408917,0,0,0,0,0
12.652445125,0,0,0,1,0
12.652880792,0,0,0,0,0
12.702917000,0,0,0,1,0
12.703352667,0,0,0,0,0
12.753400167,0,0,1,0,0
12.753516625,0,0,0,0,0
12.753527500,1,0,0,0,0
12.814417500,0,0,0,0,0
12.814428042,0,1,0,0,0
12.814539625,0,0,0,0,0
12.814557500,0,0,0,1,0
12.814993167,0,0,0,0,0
12.815010042,0,0,0,0,1
12.870419667,0,0,0,0,0
12.870437542,0,0,0,1,0
12.870873250,0,0,0,0,0
12.904837167,0,0,0,1,0
12.905278917,0,0,0,0,0
12.955319917,0,0,0,1,0
12.955761667,0,0,0,0,0
13.005798167,0,0,0,1,0
13.006233875,0,0,0,0,0
13.056280917,0,0,0,1,0
13.056716625,0,0,0,0,0
13.106763667,0,0,0,1,0
13.107205417,0,0,0,0,0
13.157241625,0,0,0,1,0
13.157677292,0,0,0,0,0
13.207724375,0,0,0,1,0
13.208160042,0,0,0,0,0
13.258199500,0,0,0,0,1
13.313712125,0,0,0,0,0
13.313723000,1,0,0,0,0
13.374605875,0,0,0,0,0
13.374616417,0,1,0,0,0
13.374731750,0,0,0,0,0
13.374745500,0,0,1,0,0
13.374860667,0,0,0,0,0
13.374878542,0,0,0,1,0
13.375320292,0,0,0,0,0
13.409643125,0,0,0,1,0
13.410084875,0,0,0,0,0
13.460125875,0,0,0,1,0
13.460567625,0,0,0,0,0
13.510603792,0,0,0,1,0
